timestamp_iso,temp_c,hum_pct,pitch_deg
2025-09-28T20:25:23.679389,,,7.9
2025-09-28T20:25:24.768115,,,8.0
2025-09-28T20:25:25.768780,,,7.9
2025-09-28T20:25:26.856945,,,7.9
2025-09-28T20:25:27.858155,,,7.9
2025-09-28T20:25:28.945912,,,7.9
2025-09-28T20:25:29.947931,,,8.0
2025-09-28T20:25:31.035946,,,7.9
2025-09-28T20:25:32.037467,,,7.9
2025-09-28T20:25:33.125071,,,7.9
2025-09-28T20:25:34.126656,,,7.9
2025-09-28T20:25:35.214607,,,7.9
2025-09-28T20:25:36.216345,,,7.9
2025-09-28T20:25:37.304181,,,7.8
2025-09-28T20:25:38.305829,,,7.9
2025-09-28T20:25:39.393884,,,8.0
2025-09-28T20:25:40.395912,,,7.8
2025-09-28T20:25:41.483199,,,8.0
2025-09-28T20:25:42.484791,,,8.0
2025-09-28T20:25:43.572427,,,8.1
2025-09-28T20:25:44.575277,,,8.0
2025-09-28T20:25:45.661835,,,7.9
2025-09-28T20:25:46.663694,,,8.1
2025-09-28T20:25:47.751347,,,8.3
2025-09-28T20:25:48.753577,,,8.3
2025-09-28T20:25:49.840816,,,8.3
2025-09-28T20:25:50.842668,,,8.2
2025-09-28T20:25:51.930573,,,8.3
2025-09-28T20:25:52.932125,,,8.3
2025-09-28T20:25:54.019875,,,8.5
2025-09-28T20:25:55.021724,,,5.6
2025-09-28T20:25:56.109693,,,8.1
2025-09-28T20:25:57.125766,,,6.8
2025-09-28T20:25:58.199020,,,8.4
2025-09-28T20:25:59.200545,,,9.7
2025-09-28T20:26:00.288733,,,10.0
2025-09-28T20:26:01.290178,,,10.1
2025-09-28T20:26:02.378115,,,10.0
2025-09-28T20:26:03.379711,,,10.1
2025-09-28T20:26:04.467527,,,10.3
2025-09-28T20:26:05.469016,,,10.5
2025-09-28T20:26:06.556792,,,10.5
2025-09-28T20:26:07.558557,,,10.8
2025-09-28T20:26:08.646541,,,10.8
2025-09-28T20:26:09.648173,,,10.8
2025-09-28T20:26:10.735920,,,10.6
2025-09-28T20:26:11.737741,,,10.7
2025-09-28T20:26:12.825189,,,10.2
2025-09-28T20:26:13.827329,,,9.9
2025-09-28T20:26:14.914825,,,10.0
2025-09-28T20:26:15.916702,,,10.1
2025-09-28T20:26:17.004579,,,10.0
2025-09-28T20:26:18.006354,,,10.1
2025-09-28T20:26:19.093813,,,10.3
2025-09-28T20:26:20.095546,,,10.2
2025-09-28T20:26:21.183125,,,10.3
2025-09-28T20:26:22.184767,,,10.2
2025-09-28T20:26:23.272758,,,9.9
2025-09-28T20:26:24.274508,,,10.2
2025-09-28T20:26:25.362289,,,10.2
2025-09-28T20:26:26.364004,,,11.3
2025-09-28T20:26:27.451880,,,11.3
2025-09-28T20:26:28.453317,,,11.4
2025-09-28T20:26:29.541407,,,11.4
2025-09-28T20:26:30.542962,,,11.5
2025-09-28T20:26:31.630735,,,18.8
2025-09-28T20:26:32.632835,,,10.3
2025-09-28T20:26:33.720311,,,10.7
2025-09-28T20:26:34.721862,,,11.0
2025-09-28T20:26:35.809576,,,11.1
2025-09-28T20:26:36.811571,,,11.0
2025-09-28T20:26:37.898891,,,11.1
2025-09-28T20:26:38.900963,,,10.9
2025-09-28T20:26:39.988589,,,11.0
2025-09-28T20:26:40.990641,,,10.8
2025-09-28T20:26:42.078315,,,11.0
2025-09-28T20:26:43.079993,,,10.7
2025-09-28T20:26:44.167643,,,10.7
2025-09-28T20:26:45.169363,,,10.7
2025-09-28T20:26:46.257209,,,10.7
2025-09-28T20:26:47.258930,,,10.7
2025-09-28T20:26:48.346425,,,10.7
2025-09-28T20:26:49.348513,,,10.8
2025-09-28T20:26:50.436287,,,10.7
2025-09-28T20:26:51.437981,,,10.7
2025-09-28T20:26:52.525862,,,3.0
2025-09-28T20:26:53.527543,,,12.0
2025-09-28T20:26:54.615466,,,15.3
2025-09-28T20:26:55.617088,,,12.4
2025-09-28T20:26:56.704451,,,12.4
2025-09-28T20:26:57.706629,,,12.2
2025-09-28T20:26:58.794217,,,12.4
2025-09-28T20:26:59.795773,,,12.4
2025-09-28T20:27:00.883676,,,11.9
2025-09-28T20:27:01.885257,,,13.0
2025-09-28T20:27:02.973014,,,12.3
2025-09-28T20:27:03.974761,,,12.6
2025-09-28T20:27:05.062618,,,12.0
2025-09-28T20:27:06.064257,,,11.4
2025-09-28T20:27:07.151984,,,11.1
2025-09-28T20:27:08.153577,,,11.6
2025-09-28T20:27:09.241460,,,11.6
2025-09-28T20:27:10.243156,,,11.4
2025-09-28T20:27:11.330827,,,11.1
2025-09-28T20:27:12.332511,,,11.3
2025-09-28T20:27:13.421453,,,11.3
2025-09-28T20:27:14.422110,,,11.1
2025-09-28T20:27:15.509859,,,11.1
2025-09-28T20:27:16.511487,,,11.3
